name;widthPx;heightPx;orientation;takenDate;latitude;longitude;cameraMake;cameraModel;lensMake;lensModel;iso;exposureTime;fNumber;focalLength;rating;keywords
photo_1.jpg;4000;2670;STANDARD;1563088871470;55.911315916666666;36.9634819;Canon;Canon EOS 70D;null;EF-S55-250mm f/4-5.6 IS STM;250;0.0025;7.1;250.0;0;[honey bee, animal, insect, invertebrate, apidae, bee]
photo_2.jpg;1367;2000;STANDARD;1556991300910;null;null;NIKON CORPORATION;NIKON D810;null;null;4000;0.025;2.8;200.0;null;[mammal, dog, pet, canine, wildlife, red fox]
photo_3.jpg;2074;2592;null;1588252095000;null;null;OLYMPUS CORPORATION;E-M10 Mark III;null;OLYMPUS M.30mm F3.5 Macro;500;0.004;5.6;30.0;2;[invertebrate, animal]
photo_4.jpg;5184;3456;null;1577057308230;null;null;Canon;Canon EOS REBEL T5i;null;EF-S18-55mm f/3.5-5.6 IS STM;1600;0.0015625;5.6;18.0;1;[wood, floor, cat, flooring, mammal, pet, animal]
photo_5.jpg;3771;2121;null;1548094438000;null;null;FUJIFILM;X-T20;FUJIFILM;XF90mmF2 R LM WR;250;0.005;2.0;90.0;5;[london]
photo_6.jpg;3000;1688;null;1551068056000;null;null;SONY;DSC-RX100;null;28-100mm F1.8-4.9;125;0.004;8.0;10.4;0;[tortoise, reptile, sea turtle, water, outdoors]
photo_7.jpg;6000;3376;null;1555517508000;null;null;SONY;ILCE-6000;null;DT 0mm F0 SAM;100;0.002;1.8;50.0;0;[grass, dog, plant, mammal, animal, pet, canine, hound]
photo_8.jpg;5472;3648;null;1550291851930;null;null;Canon;Canon EOS 6D;null;35mm;250;2.5E-4;1.4;35.0;3;[]
photo_9.jpg;2862;1905;null;1572785739400;49.241664;-121.94587509992007;NIKON CORPORATION;NIKON D810;null;200.0-400.0 mm f/4.0;640;5.0E-4;8.0;400.0;2;[animal, eagle, bird]
photo_10.jpg;3320;2490;null;1557499439770;null;null;Canon;Canon EOS 5D Mark IV;null;EF300mm f/2.8L IS II USM;160;6.25E-4;4.0;300.0;2;[]
photo_11.jpg;4094;2699;null;1367412950000;null;null;NIKON CORPORATION;NIKON D7000;null;150.0 mm f/2.8;280;0.001;6.3;150.0;1;[]
photo_12.jpg;3482;2460;null;1296308573000;null;null;SONY;DSLR-A700;null;100-300mm F4.5-5.6;400;5.0E-4;5.6;250.0;4;[animal, bald eagle]
